line,text
79 Sk.,Expectant ueluti consul cum mittere signum
80 Sk.,"Volt, omnes auidi spectant ad carceris oras"
81 Sk.,Quam mox emittat pictos e faucibus currus:
82 Sk.,Sic expectabat populus atque ore timebat
83 Sk.,Rebus utri magni uictoria sit data regni.
,
220 Sk.,Corpore tartarino prognata Paluda uirago
221 Sk.,"Cui par imber et ignis, spiritus et grauis terra"
,
319 Sk.,Cyclopis uenter uelut olim turserat alte
320 Sk.,Carnibus humanis distentus
,
332 Sk.,"– ueluti, [si] quando uinclis uenatica uelox"
333 Sk.,Apta dolet si forte <feras> ex nare sagaci
334 Sk.,"Sensit, uoce sua nictit ululatque ibi acute"
,
361 Sk.,Et simul erubuit ceu lacte et purpura mixta
,
391 Sk.,Undique conueniunt uelut imber tela tribuno
,
432 Sk.,"Concurrunt ueluti uenti, quom spiritus Austri"
433 Sk.,Imbricitor Aquiloque suo cum flamine contra
434 Sk.,Indu mari magno fluctus extollere certant
,
465 Sk.,Quomque gubernator magna contorsit equos ui
,
522 Sk.,Sicuti fortis equos spatio qui saepe supremo
523 Sk.,Vicit Olympia nunc senio confectus quiescit
,
535 Sk.,"Et tum, sicut equos qui de praesepibus fartus"
536 Sk.,Vincla suis magnis animis abrumpit et inde
537 Sk.,Fert sese campi per caerula laetaque prata
538 Sk.,"Celso pectore; saepe iubam quassat simul altam,"
539 Sk.,Spiritus ex anima calida spumas agit albas
,
542 Sk.,Tantidem quasi feta canes sine dentibus latrat
,
549 Sk.,Sicuti siquis ferat aus uini dimidiatum
,
Dubia,
169 Sk.,"Balantum pecudes quatit, omnes arma requirunt"
,
463 Sk.,quom a carcere fusi
464 Sk.,Currus cum sonitu magno permittere certant
,
547 Sk.,Inuictus ca<nis nare sagax et ui>ribus fretus
,
570 Sk.,Perque fabam repunt et mollia crura reponunt
,
,
,
,
,
,
,
,
,
